// Name, URL, Crawling Page Size
CPU, https://prod.danawa.com/list/?cate=112747,5
RAM, https://prod.danawa.com/list/?cate=112752,15
VGA, https://prod.danawa.com/list/?cate=112753,20
MBoard, https://prod.danawa.com/list/?cate=112751,15
SSD, https://prod.danawa.com/list/?cate=112760,5
HDD, https://prod.danawa.com/list/?cate=112763,3
Power, https://prod.danawa.com/list/?cate=112777,15
Cooler, https://prod.danawa.com/list/?cate=11236855,20
Case, https://prod.danawa.com/list/?cate=112775,15
